Reference Type,Author,Title,Year,Secondary Title,DOI,URL,Abstract,Keywords,Label
Conference Proceedings,Muofhe M.; Dlodlo N.; Terzoli A.,An Internet of Things-Based System Integrated with Blockchain to Manage Patient Data in the Healthcare Sector,2019,"2019 Open Innovations Conference, OI 2019",10.1109/OI.2019.8908221,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076353588&doi=10.1109%2fOI.2019.8908221&partnerID=40&md5=854ef9b4cfd56ec9207614845eafbe02,"Health is the biggest challenge to a majority of citizens regardless of age group and with the shortage of major components in the healthcare sector, life expectancy tends to reduce due to a lack of facilities. Technology on the other hand is reaching out to meet some of the demands that the healthcare will continuously require in order to deliver their services on time. One such technology is known as the internet of things (IoT). IoT has already proven its great potential towards the healthcare domain. IoT has the ability to allow patients to be monitored from the comfort of their homes through sensors equipped within devices deployed to perform specific tasks. The other technology is none other than the Blockchain which was introduced to deliver its capabilities in the financial ledger. The Blockchain helps to keep track of all the transactions being recorded, which in healthcare sector the need for Blockchain can be transformed to keep a trace of patient records. Since the IoT devices have the capability to monitor vital signs in the human body, it will be of a great achievement to integrate it with the Blockchain to keep an efficient system of healthcare records. The approach of this work is presented based on an Blockchained-IoT system to improve challenges of storing patients' data captured by wearable IoT devices to help medical caregivers to make more informed decisions based on the efficient healthcare record-keeping. The design science approach will be proposed in our research to run the full experiment of our work. © 2019 IEEE.",,Muofhe:2019:1
Article,Hasan H.; AlHadhrami E.; AlDhaheri A.; Salah K.; Jayaraman R.,Smart contract-based approach for efficient shipment management,2019,Computers and Industrial Engineering,10.1016/j.cie.2019.07.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068896995&doi=10.1016%2fj.cie.2019.07.022&partnerID=40&md5=47733cdcd709f54e6e73be4a5a89522d,"Efficient tracking of shipments is critical in managing global trade and logistics activities. The volume of global container movement combined with information opaqueness and process complexity necessitates implementing a robust technology solution with real time tracking capabilities. Blockchain is an emerging technology that offers the necessary platform to track and manage shipment movements in the supply chain using a peer-to-peer, secured, distributed ledger, and without intermediaries or trusted third parties. In this paper, we propose a blockchain-based solution for efficient supply chain management involving items shipped via smart containers. Our proposed solution utilizes the features of smart contracts in Ethereum blockchain to govern and manage interactions between the sender and receiver. Shipped items are included in smart containers equipped with Internet of Things (IoT) sensors that can be used to track and monitor predefined shipping conditions related to temperature, geographical location, humidity, pressure, light exposure, sudden fall, broken seal, etc. Ethereum smart contracts are used to manage shipment conditions, automate payments, legitimize receiver and also issue a refund in case of violations to predefined conditions. In the paper, we present and discuss key aspects related to architectural design, entity relations, interactions among participants, information flow, implementation and testing of the overall system functionality with a potential business case applied to vaccine supply chain. The Smart contracts were implemented in Solidity language and tested using Remix IDE environment, the code has been made publicly available for academic, research and practice community. © 2019 Elsevier Ltd",Blockchain; Ethereum; Internet of things; IoT; Smart contracts; Supply chain management,Hasan:2019:1
Article,Zhao Y.; Liu Y.; Tian A.; Yu Y.; Du X.,Blockchain based privacy-preserving software updates with proof-of-delivery for Internet of Things,2019,Journal of Parallel and Distributed Computing,10.1016/j.jpdc.2019.06.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067258270&doi=10.1016%2fj.jpdc.2019.06.001&partnerID=40&md5=d2d6d0440abf771ebd5118d2deee0d4f,"A large number of IoT devices are connected via the Internet. However, most of these IoT devices are generally not perfect-by-design even have security weaknesses or vulnerabilities. Thus, it is essential to update these IoT devices securely, patching their vulnerabilities and protecting the safety of the involved users. Existing studies deliver secure and reliable updates based on blockchain network which serves as the transmission network. However, these approaches could compromise users privacy when updating the IoT devices. In this paper, we propose a new blockchain based privacy-preserving software update protocol, which delivers secure and reliable updates with an incentive mechanism while protects the privacy of involved users. A vendor delivers the updates and makes a commitment by using smart contract to provide financial incentive to the transmission nodes who deliver the updates to its IoT devices. A transmission node can get financial incentive by providing a proof-of-delivery. In order to obtain the proof-of-delivery, the transmission node uses double authentication preventing signature (DAPS) to carry out fair exchange. Specifically, the transmission node uses the DAPS to exchange an attribute-based signature (ABS) of one IoT device. Then, it uses the ABS as proof-of-delivery to receive financial incentives. Generally, to generate an ABS, the IoT device has to execute complex computations which is intolerable for resource limited devices. We propose a concrete outsourced attribute-based signature (OABS) scheme to overcome the weakness. Then, we prove the security of the proposed OABS and the protocol. Finally, we implement smart contract in Solidity to demonstrate the validity of the proposed protocol. © 2019 Elsevier Inc.",Attribute-based signatures; Blockchain; IoT; Privacy-preserving; Software update,Zhao:2019:1
Conference Proceedings,Da Silva V.F.; Coelho M.N.; Coelho B.N.; Coelho V.N.; Coelho I.M.,A home ledger approach for IoT enabled devices,2019,Proceedings - Symposium on Computer Architecture and High Performance Computing,10.1109/SBAC-PAD.2019.00044,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076932294&doi=10.1109%2fSBAC-PAD.2019.00044&partnerID=40&md5=863b23cb56bcf84ac1beae820b2212b4,"This paper discusses the application of IoT-devices with low energy consumption and high-performance computing capabilities, for processing blockchain data using Neo Virtual Machine (NeoVM). NeoVM is a turing-complete computing machine, designed for Neo Blockchain, specially designed for cryptographic and deterministic (verifiable) computation. A NeoVM program is called a NVM Script (or just Script), and it is often used together with Neo Blockchain application capabilities, being called a Smart Contract. Smart Contracts are already used on other blockchains such as Bitcoin (although not Turing-complete) for value transfers, through the availability of verifiable information, i.e., transactions and transaction blocks, on a global ledger. However, due to the high processing costs and low throughput capabilities of global public chains, most industrial applications of blockchain require the usage of private/permissioned chains, with the goal of providing high-speed and low-cost information persistance. This work proposes an IoT device prototype capable of delivering blockchain private access to home applications (also called a Smart Home), in a new concept defined as Home Ledger. Applications of Home Ledger include: local permissioned access to sensors and home devices (through state-of-the-art cryptography); guaranteed verification of local stored data (through redundancy and byzantine fault tolerance consensus mechanisms); lowcost and high-performance local registry (through usage of lowenergy microcontrollers); auditable cameras and local security on Home Ledger; global availability by interfacing with a global public ledger. © 2019 IEEE.",Elliptic Curve Cryptography; Home Ledger; Microcontroller; NEO Blockchain; NeoVM; Smart Home,Da:2019:1
Article,Wu H.-T.; Tsai C.-W.,An intelligent agriculture network security system based on private blockchains,2019,Journal of Communications and Networks,10.1109/JCN.2019.000043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072970758&doi=10.1109%2fJCN.2019.000043&partnerID=40&md5=8382490d61f26eee51fa18232d621f3b,"Countries around the world are nowadays actively promoting development in intelligent agriculture. Each of them must develop a specific plan tailored to environmental farming indices of each individual farm, and such information would be both important and sensitive. This is why information in intelligent agriculture requires protection from network security to ensure data privacy and integrity. This study proposes applying dark web technology to ensure the privacy of blockchains and servers. The study will monitor packet transmission frequency in intelligent agriculture to prevent distributed denial-of-service (DDOS) attacks. The main features of system include: (1) An identity authentication mechanism, (2) secure transmission of information, (3) establishment of private blockchains, (4) a faster, improved authentication system for blockchain information, and (5) resistance against DDOS attacks. The proposed scheme can safeguard network security for the IoT as well as the servers by way of applying dark web technology, which can avoid exposure of blockchains and server ID addresses and thus in turn lower the risks of DDOS attack damages. Experiment results indicate that the application of lightweight encryption of proposed scheme does indeed improve the authentication speed while also satisfying requirements of network security. © 2011 KICS.",Blockchain; intelligent agriculture; internet of things; network security; privacy,Wu:2019:1
Article,Zhang K.; Zhu Y.; Maharjan S.; Zhang Y.,Edge Intelligence and Blockchain Empowered 5G beyond for the Industrial Internet of Things,2019,IEEE Network,10.1109/MNET.001.1800526,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073633889&doi=10.1109%2fMNET.001.1800526&partnerID=40&md5=6ccb29c029b835c50e20cb1a8a52cb18,"Edge intelligence is a key enabler for IIoT as it offers smart cloud services in close proximity to the production environment with low latency and less cost. The need for ubiquitous communication, computing, and caching resources in 5G beyond will lead to a growing demand to integrate heterogeneous resources into the edge network. Furthermore, distributed edge services can make resource transactions vulnerable to malicious nodes. Ensuring secure edge services under complex industrial networks is a big challenge. In this article, we present an edge intelligence and blockchain empowered IIoT framework, which achieves flexible and secure edge service management. Then we propose a cross-domain sharing inspired edge resource scheduling scheme and design a credit-differentiated edge transaction approval mechanism. Numerical results indicate that the proposed schemes bring significant improvement in both edge service cost and service capacities. © 1986-2012 IEEE.",,Zhang:2019:1
Article,Ali G.; Ahmad N.; Cao Y.; Asif M.; Cruickshank H.; Ali Q.E.,Blockchain based permission delegation and access control in Internet of Things (BACI),2019,Computers and Security,10.1016/j.cose.2019.06.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068480555&doi=10.1016%2fj.cose.2019.06.010&partnerID=40&md5=865155c993c6ef2e0543084c28917391,"Access control with permission delegation mechanism allows fine granular access to secure resources. In the literature, existing architectures for permission delegation and access control are either event-based or query-based. These previous works assume a single trusted delegation service, which however is likely biased or fails to service. Also, they fail to allow users to verify delegation service operations, as such cannot be directly applied to IoT (Internet of Things) due to low power, low-bandwidth, ad-hoc and decentralized nature. This paper proposes a novel decentralized architecture for permission delegation and access control for IoT application, with demands on event and query base permission delegation. We further apply Blockchain (BC) technology to make delegation services secure, trusted, verifiable and decentralized. We investigate our proposed approach in Simple PROMELA INterpreter (SPIN) model checker using PROMELA (Process Meta Language). The “Platform Verification”, “Delegation”, “Mutual Exclusion” properties written in Linear Temporal Logic (LTL) are also verified against the PROMELA model. © 2019 Elsevier Ltd",Access control; Blockchain; Internet of Things; Permission delegation; Platform verification,Ali:2019:1
Conference Proceedings,Yusuf A.A.; Kurnia Basuki D.; Sukaridhoto S.; Pratama Y.P.; Bramasta Putra F.; Yulianus H.,ArmChain - A Blockchain Based Sensor Data Communication for the Vehicle as a Mobile Sensor Network,2019,"IES 2019 - International Electronics Symposium: The Role of Techno-Intelligence in Creating an Open Energy System Towards Energy Democracy, Proceedings",10.1109/ELECSYM.2019.8901530,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075832712&doi=10.1109%2fELECSYM.2019.8901530&partnerID=40&md5=40f99c0f899e3d96d846c88dc6ec7609,"The Internet of Things (IoT) is widely used in various aspects such as industry, manufacturing, health, agriculture and others. One of the uses of IoT is as an environmental monitoring system. In its application, IoT-based environmental monitoring systems are composed of one or more sensors placed in various locations and connected to each other using certain protocols. The problem arises when thousands of IoT devices connected together in one network and using the server-client connection model which raises several works in the synchronization process and access control management. This kind of network depends on a server as the center of control management that work as storing and distributing data from the sensor so that any data comes from the server is considered correct. To overcome this problem, it is proposed an IoT system that uses Blockchain technology which is a distributed data structure that forms blocks that do not require central authority and verification from third parties. From the experiments conducted can be evaluated that blockchain communication is much slower compared to MQTT communication protocol in terms of speed. The data transmission between node is measured with an average delay of 200ms. This system also visualizes data in graph with a high mobility data collection using vehicle so that it can be used to be an alternative of public participatorial measurement. © 2019 IEEE.",Air Quality Measurements; Blockchain; Distributed Network; Internet of Things; Vehicle as a Mobile Sensor Network,Yusuf:2019:1
Conference Proceedings,Pham H.-A.; Le T.-K.; Pham T.-N.-M.; Nguyen H.-Q.-T.; Le T.-V.,Enhanced Security of IoT Data Sharing Management by Smart Contracts and Blockchain,2019,"Proceedings - 2019 19th International Symposium on Communications and Information Technologies, ISCIT 2019",10.1109/ISCIT.2019.8905219,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076201861&doi=10.1109%2fISCIT.2019.8905219&partnerID=40&md5=210720604b58ac190321252575a9173b,"In recent years, the incredible growth and diversity of IoT systems and applications have generated an enormous amount of sensing data which play an essential role in IoT-based smart systems. So far, it has consumed much time and cost to collect these sensing data enough for these intelligent systems, which is the main reason leading to the needs of sharing available data to shorten time-consuming and cost savings for the data collection process. However, there are many challenges in ensuring integrity, security, and fairness in the data sharing process. In this paper, the authors propose a model leveraging the emerging Blockchain technology as an alternative solution to enhance the security of IoT data sharing management in terms of three principal criteria including confidentiality, integrity, and availability. Our prototype on Ethereum Blockchain demonstrates the feasibility of the proposed model. © 2019 IEEE.",Blockchain; Data Integrity; Data Security; IoT; IoT Data Management; Smart Contract,Pham:2019:1
Conference Proceedings,Loupos K.; Caglayan B.; Papageorgiou A.; Starynkevitch B.; Vedrine F.; Skoufis C.; Christofi S.; Karakostas B.; Mygiakis A.; Theofilis G.; Chiappetta A.; Avgoustidis H.; Boulougouris G.,"Cognition enabled IoT platform for industrial IoT safety, security and privacy-the CHARIOT project",2019,"IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks, CAMAD",10.1109/CAMAD.2019.8858488,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073792739&doi=10.1109%2fCAMAD.2019.8858488&partnerID=40&md5=274a82e60217ce936a374f6401b3b6b1,"The CHARIOT project is developing an innovative design method and cognitive platform that supports a unified and integrated approach towards Data Privacy, Security and Safety of Industrial IoT Systems including several technologies. These include: i) an advanced Privacy and security protection building on state of the art Public Key Infrastructure (PKI) technologies, ii) a blockchain ledger that provides categorization and affirmation of IoT physical, operational and functional changes, iii) a FOG-based decentralized infrastructure for Firmware Security integrity, iv) an IoT Safety Supervision Engine towards securing IoT data, devices and functionality in new and existing industry-specific safety critical systems, v) a cognitive System and Method with accompanying supervision, analytics and prediction models enabling high security and integrity of Industrials IoT as well as vi) new methods and tools for static code analysis of IoT devices. This short paper provides an overview of the above technologies as currently being integrated in the CHARIOT project. © 2019 IEEE.",Cognition; Data Privacy; Industrial IoT; Safety; Security,Loupos:2019:1
