"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A Self-Organized Framework for Insurance Based on Internet of Things and Blockchain","M. Vahdati; K. Gholizadeh HamlAbadi; A. M. Saghiri; H. Rashidi","NA; NA; NA; NA","2018 IEEE 6th International Conference on Future Internet of Things and Cloud (FiCloud)","","2018","","","169","175","","","","10.1109/FiCloud.2018.00032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8458009","Internet of Things (IoT);Blockchain;Insurance;Cognitive System","Insurance;Companies;Engines;Contracts;Cryptography;Internet of Things","cognitive systems;contracts;cryptography;insurance;Internet;Internet of Things;risk management","Internet of things;blockchain technology;customers characteristics;low-risk customers;IoT technology;insurer;high-risk customers;insurance rates;insurance companies;self-organized framework","","","","","","","","","","IEEE","IEEE Conferences"
"On design issues and architectural styles for blockchain-driven IoT services","C. Liao; S. Bao; C. Cheng; K. Chen","Department of Computer Science, National Chengchi University, Taipei, Taiwan; Department of Computer Science, National Chengchi University, Taipei, Taiwan; Department of Computer Science, National Chengchi University, Taipei, Taiwan; Department of Computer Science, National Chengchi University, Taipei, Taiwan","2017 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-TW)","","2017","","","351","352","","","","10.1109/ICCE-China.2017.7991140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7991140","Blockchain;IoT;Smart Contract;Ethereum","Contracts;Peer-to-peer computing;Logic gates;Internet of Things;Distributed databases;Robustness","Internet of Things;software architecture;ubiquitous computing","design issues;architectural styles;blockchain-driven IoT services;smart living spaces;Internet of Things;innovative business models","","","","","","","","","","IEEE","IEEE Conferences"
"A Scalable Blockchain Framework for Secure Transactions in IoT","S. Biswas; K. Sharif; F. Li; B. Nour; Y. Wang","School of Computer Science, Beijing Institute of Technology, & Beijing Engineering Research Center of High Volume Language Information Processing and Cloud Computing Applications, Beijing, China.; School of Computer Science, Beijing Institute of Technology, & Beijing Engineering Research Center of High Volume Language Information Processing and Cloud Computing Applications, Beijing, China.; School of Computer Science, Beijing Institute of Technology, & Beijing Engineering Research Center of High Volume Language Information Processing and Cloud Computing Applications, Beijing, China.; School of Computer Science, Beijing Institute of Technology, & Beijing Engineering Research Center of High Volume Language Information Processing and Cloud Computing Applications, Beijing, China.; Department of Computer Science, University of North Carolina at Charlotte, NC, USA.","IEEE Internet of Things Journal","","2018","PP","99","1","1","","","","10.1109/JIOT.2018.2874095","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8481466","Internet of Things;Blockchain;Scalability;Security;Transaction rate;Ledger size.","Internet of Things;Scalability;Fabrics;Bitcoin","","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Softwarization of Internet of Things Infrastructure for Secure and Smart Healthcare","M. A. Salahuddin; A. Al-Fuqaha; M. Guizani; K. Shuaib; F. Sallabi","University of Waterloo; Western Michigan University; University of Idaho; United Arab Emirates University; United Arab Emirates University","Computer","","2017","50","7","74","79","","","","10.1109/MC.2017.195","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7971867","Internet of Things;IoT;softwarization;smart healthcare;fog;cloud;decision fusion;data fusion;rule-based engine;beacons;software-defined networking;SDN;network-functions virtualization;NFV;blockchain;Tor","Medical services;Logic gates;Cloud computing;Internet of Things;Machine-to-machine communications;Biomedical monitoring;Computer security;Cost accounting","data privacy;health care;Internet of Things;software prototyping","Internet of Things infrastructure;smart healthcare;secure healthcare;softwarized infrastructure;agile;privacy preserving deployment;Internet of Things systems","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Blockchain Meets IoT: An Architecture for Scalable Access Management in IoT","O. Novo","NomadicLab, Ericsson Research, Helsinki, Finland","IEEE Internet of Things Journal","","2018","5","2","1184","1195","","","","10.1109/JIOT.2018.2812239","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8306880","Access control;blockchain;Internet of Things (IoT);smart contracts","Access control;Internet of Things;Bitcoin;Peer-to-peer computing;Contracts","authorisation;Internet;Internet of Things","access management technology;fully distributed access control system;blockchain technology;realistic IoT scenarios;specific scalable IoT scenarios;scalable access management","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Blockchain-based Secure Time Protection Scheme in IoT","K. Fan; S. Wang; Y. Ren; K. Yang; Z. Yan; H. Li; Y. Yang","State Key Laboratory of Integrated Service Networks, Xidian University, Xi’an, 710071 China.; State Key Laboratory of Integrated Service Networks, Xidian University, Xi’an, 710071 China.; State Key Laboratory of Integrated Service Networks, Xidian University, Xi’an, 710071 China.; Department of Computer Science, University of Memphis, Memphis, TN 38152 USA.; State Key Laboratory of Integrated Service Networks, Xidian University, Xi’an, 710071 China.; State Key Laboratory of Integrated Service Networks, Xidian University, Xi’an, 710071 China.; Key Lab. of the Minist. of Educ. for Wide Band-Gap Semiconductor Materials and Devices, Xidian University, Xi’an, 710071 China.","IEEE Internet of Things Journal","","2018","PP","99","1","1","","","","10.1109/JIOT.2018.2874222","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8482304","Internet of Things;Time Synchronization;Blockchain;Security.","Synchronization;Protocols;Internet of Things;Robustness","","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Internet of Things and Blockchain: Legal Issues and Privacy. The Challenge for a Privacy Standard","N. Fabiano","NA","2017 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)","","2017","","","727","734","","","","10.1109/iThings-GreenCom-CPSCom-SmartData.2017.112","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8276831","Internet of Things;Legal issues;Data Protection and privacy Law;Blockchain;Security;Risks;Legal framework;Privacy standard","Privacy;Law;Data protection;Security;Internet of Things","cryptography;data protection;Internet of Things;legislation","data protection law;privacy law;personal data;data security;European General Data Protection Regulation;data breach notification;Big Data;data protection activities;legal issues;Internet of Things;Blockchain;Privacy Standard;IoT","","","","","","","","","","IEEE","IEEE Conferences"
"Managing IoT devices using blockchain platform","S. Huh; S. Cho; S. Kim","ETRI, Daejeon, South Korea; ETRI, Daejeon, South Korea; ETRI, Daejeon, South Korea","2017 19th International Conference on Advanced Communication Technology (ICACT)","","2017","","","464","467","","","","10.23919/ICACT.2017.7890132","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7890132","Blockchain;IoT;Ethereum;Key Management;Information & Network Security;Authentication;Smart Contract","","Internet of Things;public key cryptography;Turing machines","Bitcoin;blockchain technology;Internet of Things;IoT;RSA public key cryptosystem;Ethereum;Turing-complete code;key management system","","","","","","","","","","IEEE","IEEE Conferences"
"Trust list: Internet-wide and distributed IoT traffic management using blockchain and SDN","K. Kataoka; S. Gangwar; P. Podili","Indian Institute of Technology Hyderabad, India; Indian Institute of Technology Hyderabad, India; Indian Institute of Technology Hyderabad, India","2018 IEEE 4th World Forum on Internet of Things (WF-IoT)","","2018","","","296","301","","","","10.1109/WF-IoT.2018.8355139","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8355139","","Servers;Peer-to-peer computing;Switches;Internet of Things","computer network management;computer network security;Internet;Internet of Things;software defined networking;telecommunication traffic;trusted computing","IoT traffic management;blockchain;SDN;IoT communications;IoT devices;edge networks;IoT service;application service providers;network operators;distributed manner;Trust List;software-defined networking","","","","","","","","","","IEEE","IEEE Conferences"
"Coin Hopping Attack in Blockchain-based IoT","S. Zhu; W. Li; H. Li; L. Tian; G. Luo; Z. Cai","Department of Computer Science, Georgia State University, Atlanta, GA, USA.; Department of Computer Science, Georgia State University, Atlanta, GA, USA.; Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China.; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, Sichuan Province, P.R. China.; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, Sichuan Province, P.R. China.; Department of Computer Science, Georgia State University, Atlanta, GA, USA.","IEEE Internet of Things Journal","","2018","PP","99","1","1","","","","10.1109/JIOT.2018.2872458","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8473692","Internet of Things;blockchain;pool mining;Bitcoin;Ethereum;coin hopping attack.","Bitcoin;Internet of Things;Computer architecture;Protocols;Data mining","","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Work-in-progress: integrating low-power IoT devices to a blockchain-based infrastructure","K. R. Özyılmaz; A. Yurdakul","Bogazici University Bebek Istanbul 34342, Turkey; Bogazici University Bebek Istanbul 34342, Turkey","2017 International Conference on Embedded Software (EMSOFT)","","2017","","","1","2","","","","10.1145/3125503.3125628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094378","IoT;Blockchain;LPWAN;LoRa;Ethereum;trustless;decentralized","Logic gates;Contracts;Peer-to-peer computing;Software;Protocols;Security;Servers","Internet of Things;internetworking","low-power IoT devices;blockchain-based infrastructure;scalable infrastructure;low-power IoT end-devices;intensive blockchain calculations;IoT gateway;blockchain node;gateway;LoRa nodes;private Ethereum network;event-based messaging mechanism","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchains and Smart Contracts for the Internet of Things","K. Christidis; M. Devetsikiotis","Department of Electrical and Computer Engineering, North Carolina State University, Raleigh, NC, USA; Department of Electrical and Computer Engineering, North Carolina State University, Raleigh, NC, USA","IEEE Access","","2016","4","","2292","2303","","","","10.1109/ACCESS.2016.2566339","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7467408","blockchain;distributed systems;Internet of Things;Blockchain;distributed systems;internet of things","Distributed processing;Internet of things;Cryptography;Privacy;Blockchains;Automation;Peer-to-peer computing","contracts;cryptography;Internet of Things;peer-to-peer computing;trusted computing","transactional privacy;blockchain network;cryptographically verifiable manner;multistep process automation;trusted intermediary;distributed peer-to-peer network;IoT;Internet of Things;smart contracts","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"A Solution for Internet of Things based on Blockchain Technology","B. Mo; K. Su; S. Wei; C. Liu; J. Guo","School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, China; School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, China; School of Computer Science and Engineering, Nanjing University of Science & Technology, Nanjing, China; Silictec Co. Ltd., Shenzhen, China; School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, China","2018 IEEE International Conference on Service Operations and Logistics, and Informatics (SOLI)","","2018","","","112","117","","","","10.1109/SOLI.2018.8476777","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8476777","blockchain;Internet of Things;dual-frequency RFID tag;RFID;Waltonchain","Internet of Things;RFID tags;Intelligent sensors","cryptography;data privacy;Internet;Internet of Things;radiofrequency identification","blockchain technology;data organization structures;cryptography algorithms;distributed consensus mechanisms;peer-to-peer communications;distributed ledgers;mutual trust;noncoordinated participants;software;Internet of Things;smart devices;sensors;blockchain-based Internet;decentralized blockchain;data security;application flexibility;RFID chips;built-in asymmetric encryption algorithm;Waltonchain implementation","","","","","","","","","","IEEE","IEEE Conferences"
"A Review on the Use of Blockchain for the Internet of Things","T. M. Fernández-Caramés; P. Fraga-Lamas","Department of Computer Engineering, Faculty of Computer Science, Campus de Elviña, s/n, Universidade da Coruña, A Coruña, Spain; Department of Computer Engineering, Faculty of Computer Science, Campus de Elviña, s/n, Universidade da Coruña, A Coruña, Spain","IEEE Access","","2018","6","","32979","33001","","","","10.1109/ACCESS.2018.2842685","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8370027","IoT;blockchain;traceability;consensus;distributed systems;BIoT;fog computing;edge computing","Peer-to-peer computing;Bitcoin;Internet of Things;Cloud computing;Computer architecture","cloud computing;cryptography;data privacy;electronic money;Internet of Things","cryptocurrency;cloud-centered IoT;Blockchain-based IoT;Internet of Things;blockchain;BIoT;data privacy;automate certain tasks","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"IoTChain: Establishing Trust in the Internet of Things Ecosystem Using Blockchain","B. Yu; J. Wright; S. Nepal; L. Zhu; J. Liu; R. Ranjan","Monash University, Data61 CSIRO; Data61 CSIRO; Data61 CSIRO; Data61 CSIRO; Monash University; Newcastle University","IEEE Cloud Computing","","2018","5","4","12","23","","","","10.1109/MCC.2018.043221010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8436081","internet of things;IoT;cloud computing;blockchain;trust","Contracts;Protocols;Ecosystems;Biomedical monitoring;Stakeholders;Internet of Things","data privacy;Internet of Things;trusted computing","IoT devices;blockchain;immutability;data correctness;trusted thirdparty;distributed device vendors;fully decentralized distributed IoT ecosystem;central trusted authority;data science;IoT-based applications ecosystem;trustworthy trading platform;end-to-end trust;data management","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Implementation of IoT system using block chain with authentication and data protection","C. H. Lee; K. Kim","Dept. of Knowledge Information Engineering, Ajou Univ, Suwon Gyeonggi-do, Korea; Ajou Univ, Suwon Gyeonggi-do, Korea","2018 International Conference on Information Networking (ICOIN)","","2018","","","936","940","","","","10.1109/ICOIN.2018.8343261","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8343261","IoT;Security;Block Chain;Smart Grid","Smart meters;Servers;Contracts;Authentication;Public key","computer network security;cryptography;data privacy;Internet of Things","IoT system;authentication;data protection;block-chain IoT environment;personal information;proof-of-work process;smart meter system;zero-knowledge proof;privacy protection","","","","","","","","","","IEEE","IEEE Conferences"
"The Internet of Things ecosystem: The blockchain and privacy issues. The challenge for a global privacy standard","N. Fabiano","Studio Legale Fabiano, Rome, Italy","2017 International Conference on Internet of Things for the Global Community (IoTGC)","","2017","","","1","7","","","","10.1109/IoTGC.2017.8008970","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8008970","Internet of Things;Legal issues;Data Protection and privacy Law;Security;Blockchain;Risks;Legal framework;Privacy standard","Privacy;Law;Data protection;Security;Internet of Things","data protection;Internet;Internet of Things","data protection law;legal issues;privacy law;privacy risks;security risks;IoT system;data transfer;Internet;personal data;European General Data Protection Regulation;GDPR;Data Protection Impact Assessment;DPIA;data breach notification;law analysis;privacy by design approach;global privacy standard;data protection activities;Internet of Things ecosystem","","","","","","","","","","IEEE","IEEE Conferences"
"Privacy Improvement Architecture for IoT","E. Kak; R. Orji; J. Pry; K. Sofranko; R. Lomotey; R. Deters","NA; NA; NA; NA; NA; NA","2018 IEEE International Congress on Internet of Things (ICIOT)","","2018","","","148","155","","","","10.1109/ICIOT.2018.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8473453","Internet of Things (IoT), Sensors, Mobile devices, Middleware, Wearables, Provenance, Privacy, Blockchain","Internet of Things;Computer architecture;Wearable sensors;Cloud computing;Biomedical monitoring;Privacy","cloud computing;data privacy;Internet of Things;security of data","privacy improvement architecture;cloud services;business models;IoT architectures;broadcast model;request perspective;response perspective;blockchain-based provenance system;historical communication records;IoT ecosystem;Internet of Things","","","","","","","","","","IEEE","IEEE Conferences"
