Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Zhao Y., Liu Y., Tian A., Yu Y., Du X.","57200443911;57209295043;8612601700;55628587839;57205479965;","Blockchain based privacy-preserving software updates with proof-of-delivery for Internet of Things",2019,"Journal of Parallel and Distributed Computing","132",,,"141","149",,4,"10.1016/j.jpdc.2019.06.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067258270&doi=10.1016%2fj.jpdc.2019.06.001&partnerID=40&md5=d2d6d0440abf771ebd5118d2deee0d4f","School of Computer Science, Shaanxi Normal University, Xi'an, 710062, China; Science and Technology on Communication Security Laboratory, Chengdu, 610041, China; School of Computer Science and Technology, Shandong University of Technology, Zibo, China; Department of Computer and Information Sciences, Temple University, Philadelphia, PA  19122, United States","Zhao, Y., School of Computer Science, Shaanxi Normal University, Xi'an, 710062, China; Liu, Y., Science and Technology on Communication Security Laboratory, Chengdu, 610041, China; Tian, A., School of Computer Science and Technology, Shandong University of Technology, Zibo, China; Yu, Y., School of Computer Science, Shaanxi Normal University, Xi'an, 710062, China, School of Computer Science and Technology, Shandong University of Technology, Zibo, China; Du, X., Department of Computer and Information Sciences, Temple University, Philadelphia, PA  19122, United States","A large number of IoT devices are connected via the Internet. However, most of these IoT devices are generally not perfect-by-design even have security weaknesses or vulnerabilities. Thus, it is essential to update these IoT devices securely, patching their vulnerabilities and protecting the safety of the involved users. Existing studies deliver secure and reliable updates based on blockchain network which serves as the transmission network. However, these approaches could compromise users privacy when updating the IoT devices. In this paper, we propose a new blockchain based privacy-preserving software update protocol, which delivers secure and reliable updates with an incentive mechanism while protects the privacy of involved users. A vendor delivers the updates and makes a commitment by using smart contract to provide financial incentive to the transmission nodes who deliver the updates to its IoT devices. A transmission node can get financial incentive by providing a proof-of-delivery. In order to obtain the proof-of-delivery, the transmission node uses double authentication preventing signature (DAPS) to carry out fair exchange. Specifically, the transmission node uses the DAPS to exchange an attribute-based signature (ABS) of one IoT device. Then, it uses the ABS as proof-of-delivery to receive financial incentives. Generally, to generate an ABS, the IoT device has to execute complex computations which is intolerable for resource limited devices. We propose a concrete outsourced attribute-based signature (OABS) scheme to overcome the weakness. Then, we prove the security of the proposed OABS and the protocol. Finally, we implement smart contract in Solidity to demonstrate the validity of the proposed protocol. © 2019 Elsevier Inc.","Attribute-based signatures; Blockchain; IoT; Privacy-preserving; Software update","Blockchain; Data privacy; Finance; Network security; Attribute-based signatures; Complex computation; Financial incentives; Incentive mechanism; Privacy preserving; Resource-limited devices; Security weakness; Software updates; Internet of things",Article,"Final",,Scopus,2-s2.0-85067258270
"Magdy N., Barakat M., Mokhtar B.","57212313903;57203912028;52763667000;","IoT Systems Internal Mapping using RTT with the integration of Blockchain technology",2019,"NILES 2019 - Novel Intelligent and Leading Emerging Sciences Conference",,, 8909302,"154","157",,,"10.1109/NILES.2019.8909302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076445758&doi=10.1109%2fNILES.2019.8909302&partnerID=40&md5=78a46be85ae57113bd861f421efd0c24","Nile University, School of Engineering and Applied Sciences, Egypt; College of Information Technology, University of Fujairah, Fujairah, United Arab Emirates","Magdy, N., Nile University, School of Engineering and Applied Sciences, Egypt; Barakat, M., Nile University, School of Engineering and Applied Sciences, Egypt; Mokhtar, B., Nile University, School of Engineering and Applied Sciences, Egypt, College of Information Technology, University of Fujairah, Fujairah, United Arab Emirates","The degree to which innovators adopt Blockchain as a tool to create relevant and useful business solutions will determine how fast and far the platform moves into our daily lives. There are limitless opportunities for technology to define and shape future innovation. In a world dominated by digital technology, IoT plays a prominent role in our lives. It has created an ecosystem that links many systems to give smart performances in every task. The proliferation of the IoT has created a new evolution of cell phones, home and other embedded applications that are all connected to the internet. They have impeccably integrated human communication in ways we never expected before. Integrating blockchain and IOT will provide innovative technology. This integration will provide trustless, more secure, and more reliable IoT systems. The applications of this integration will be limitless. In this research, we will apply this concept in a simple game application. Bluetooth technology will be used to calculate the object's positions by using RTT and other data from mobile sensors and apply them in kinematics equations. This application allows building a map of objects positions relative to each other. Blockchain will be used to save this data and assure its accuracy and correctness. The Game application will be a simple proof of the concept, but its future application will be limitless. © 2019 IEEE.","Android studio.; Blockchain; Bluetooth; Ethereum; RTT","Blockchain; Bluetooth; Ethereum; Integration; Bluetooth technology; Business solutions; Digital technologies; Embedded application; Future applications; Human communications; Innovative technology; Kinematics equation; Internet of things",Conference Paper,"Final",,Scopus,2-s2.0-85076445758
"Da Silva V.F., Coelho M.N., Coelho B.N., Coelho V.N., Coelho I.M.","57212514452;55619874200;56118270100;55505662100;55116426700;","A home ledger approach for IoT enabled devices",2019,"Proceedings - Symposium on Computer Architecture and High Performance Computing","2019-October",, 8924162,"227","233",,,"10.1109/SBAC-PAD.2019.00044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076932294&doi=10.1109%2fSBAC-PAD.2019.00044&partnerID=40&md5=863b23cb56bcf84ac1beae820b2212b4","Instituto de Matemática e Estatística (IME), Universidade Do Estado Do Rio de Janeiro (UERJ), Rio de Janeiro, Brazil; Departamento de Engenharia de Controle e Automação, Universidade Federal de Ouro Preto, Ouro Preto, Brazil; Department of Technology (DTECH), Universidade Federal de São João Del-Rei, Ouro Branco, Brazil; Researcher, OptBlocks, Belo Horizonte, Brazil","Da Silva, V.F., Instituto de Matemática e Estatística (IME), Universidade Do Estado Do Rio de Janeiro (UERJ), Rio de Janeiro, Brazil; Coelho, M.N., Departamento de Engenharia de Controle e Automação, Universidade Federal de Ouro Preto, Ouro Preto, Brazil; Coelho, B.N., Department of Technology (DTECH), Universidade Federal de São João Del-Rei, Ouro Branco, Brazil; Coelho, V.N., Researcher, OptBlocks, Belo Horizonte, Brazil; Coelho, I.M., Instituto de Matemática e Estatística (IME), Universidade Do Estado Do Rio de Janeiro (UERJ), Rio de Janeiro, Brazil","This paper discusses the application of IoT-devices with low energy consumption and high-performance computing capabilities, for processing blockchain data using Neo Virtual Machine (NeoVM). NeoVM is a turing-complete computing machine, designed for Neo Blockchain, specially designed for cryptographic and deterministic (verifiable) computation. A NeoVM program is called a NVM Script (or just Script), and it is often used together with Neo Blockchain application capabilities, being called a Smart Contract. Smart Contracts are already used on other blockchains such as Bitcoin (although not Turing-complete) for value transfers, through the availability of verifiable information, i.e., transactions and transaction blocks, on a global ledger. However, due to the high processing costs and low throughput capabilities of global public chains, most industrial applications of blockchain require the usage of private/permissioned chains, with the goal of providing high-speed and low-cost information persistance. This work proposes an IoT device prototype capable of delivering blockchain private access to home applications (also called a Smart Home), in a new concept defined as Home Ledger. Applications of Home Ledger include: local permissioned access to sensors and home devices (through state-of-the-art cryptography); guaranteed verification of local stored data (through redundancy and byzantine fault tolerance consensus mechanisms); lowcost and high-performance local registry (through usage of lowenergy microcontrollers); auditable cameras and local security on Home Ledger; global availability by interfacing with a global public ledger. © 2019 IEEE.","Elliptic Curve Cryptography; Home Ledger; Microcontroller; NEO Blockchain; NeoVM; Smart Home","Application programs; Automation; Blockchain; Computer architecture; Costs; Data handling; Energy utilization; Fault tolerance; Green computing; Microcontrollers; Public key cryptography; Turing machines; Application capability; Byzantine fault tolerance; Elliptic curve cryptography; High performance computing; Home Ledger; Low energy consumption; NeoVM; Smart homes; Internet of things",Conference Paper,"Final",,Scopus,2-s2.0-85076932294
"Predescu A., Mocanu M., Lupu C., Bercovici A.","57195364877;24376506600;35615157600;57202516252;","A real-time architecture for collaborative IoT applications in urban water management",2019,"2019 23rd International Conference on System Theory, Control and Computing, ICSTCC 2019 - Proceedings",,, 8885509,"839","844",,,"10.1109/ICSTCC.2019.8885509","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075038087&doi=10.1109%2fICSTCC.2019.8885509&partnerID=40&md5=d270caa58da07cc8ab8cbe985a241ebf","Automatic Control and Computers, University POLITEHNICA of Bucharest, Romania","Predescu, A., Automatic Control and Computers, University POLITEHNICA of Bucharest, Romania; Mocanu, M., Automatic Control and Computers, University POLITEHNICA of Bucharest, Romania; Lupu, C., Automatic Control and Computers, University POLITEHNICA of Bucharest, Romania; Bercovici, A., Automatic Control and Computers, University POLITEHNICA of Bucharest, Romania","As democracy is seen as the best form of government to date, we consider that a similar approach should be taken in the case of the society of machines that begins to take shape in the context of Industry 4.0. For this matter, we propose a real-time architecture that allows for collaborative interaction between machines in IoT applications. The proposed solution aims to find the middle ground between the performance of centralized systems and the fully decentralized nature of Blockchain systems, while ensuring high reliability and autonomous operation. While the data storage and communication channel is handled by the central authority, the interaction and decision making is governed exclusively by end nodes. The system is designed based on a modern, push-based architecture and allows for exchanging messages as well as keeping track of the real-time status of end nodes. In the context of urban water management, the applications range from decentralized sensor networks to mobile robots. © 2019 IEEE.","Collaborative IoT; Decentralized applications; Distributed systems; Real-time databases; Real-time messaging; Smart infrastructure; Urban water management","Computation theory; Decision making; Digital storage; Distributed database systems; Internet of things; Network architecture; Sensor networks; System theory; Water management; Collaborative IoT; Distributed systems; Real-time database; Real-time messaging; Smart infrastructures; Urban water management; Real time systems",Conference Paper,"Final",,Scopus,2-s2.0-85075038087
"Wu H.-T., Tsai C.-W.","56130043100;34870991000;","An intelligent agriculture network security system based on private blockchains",2019,"Journal of Communications and Networks","21","5", 8854268,"503","508",,2,"10.1109/JCN.2019.000043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072970758&doi=10.1109%2fJCN.2019.000043&partnerID=40&md5=8382490d61f26eee51fa18232d621f3b","Department of Computer Science and Information Engineering, National Penghu University of Science and Technology, Penghu, Taiwan; Department of Computer Science and Engineering, National Sun Yat-sen University, Kaohsiung, Taiwan","Wu, H.-T., Department of Computer Science and Information Engineering, National Penghu University of Science and Technology, Penghu, Taiwan; Tsai, C.-W., Department of Computer Science and Engineering, National Sun Yat-sen University, Kaohsiung, Taiwan","Countries around the world are nowadays actively promoting development in intelligent agriculture. Each of them must develop a specific plan tailored to environmental farming indices of each individual farm, and such information would be both important and sensitive. This is why information in intelligent agriculture requires protection from network security to ensure data privacy and integrity. This study proposes applying dark web technology to ensure the privacy of blockchains and servers. The study will monitor packet transmission frequency in intelligent agriculture to prevent distributed denial-of-service (DDOS) attacks. The main features of system include: (1) An identity authentication mechanism, (2) secure transmission of information, (3) establishment of private blockchains, (4) a faster, improved authentication system for blockchain information, and (5) resistance against DDOS attacks. The proposed scheme can safeguard network security for the IoT as well as the servers by way of applying dark web technology, which can avoid exposure of blockchains and server ID addresses and thus in turn lower the risks of DDOS attack damages. Experiment results indicate that the application of lightweight encryption of proposed scheme does indeed improve the authentication speed while also satisfying requirements of network security. © 2011 KICS.","Blockchain; intelligent agriculture; internet of things; network security; privacy","Agriculture; Authentication; Blockchain; Cryptography; Data privacy; Denial-of-service attack; Internet of things; Authentication systems; Dark web; DDoS Attack; Distributed denial of service attack; Identity authentication; Lightweight encryption; Packet transmissions; Secure transmission; Network security",Article,"Final",Open Access,Scopus,2-s2.0-85072970758
"Moniruzzaman M., Yassine A., Benlamri R.","57206232468;24722051600;57203235506;","Blockchain-based Mechanisms for Local Energy Trading in Smart Grids",2019,"HONET-ICT 2019 - IEEE 16th International Conference on Smart Cities: Improving Quality of Life using ICT, IoT and AI",,, 8908024,"110","114",,,"10.1109/HONET.2019.8908024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076342243&doi=10.1109%2fHONET.2019.8908024&partnerID=40&md5=4a7a70e82df33527e29c1899b7145f3a","Lakehead University, Department of Electrical and Computer Engineering, Thunder Bay, ON  P7B 5E1, Canada; Lakehead University, Department of Software Engineering, Thunder Bay, ON  P7B 5E1, Canada","Moniruzzaman, M., Lakehead University, Department of Electrical and Computer Engineering, Thunder Bay, ON  P7B 5E1, Canada; Yassine, A., Lakehead University, Department of Software Engineering, Thunder Bay, ON  P7B 5E1, Canada; Benlamri, R., Lakehead University, Department of Software Engineering, Thunder Bay, ON  P7B 5E1, Canada","Managing the energy demand and supply during peak hours is a challenging prospect, especially in areas where the energy demand grows rapidly. To alleviate the shortage in energy supply, an increasing number of renewable energy sources (RES) are being integrated into the main grid. However, the unpredictability and intermittency of energy generation in power systems may lead to unforeseen demand peaks. To address this issue, we propose two blockchain-based Local energy market (LEM) mechanisms that assist prosumers (i.e., users with RESs that can either produce or absorb energy) and consumers to trade energy securely, balance demand and supply in a decentralized approach, and sell surplus energy to the main grid. Specifically, this paper presents the concept of Proof of Energy Generation (PoEG) to increase energy production by rewarding a prosumer as a validator to add a block in the blockchain. Also, we propose the concept of Proof of Energy Consumption (PoEC) to incentivize a user to reduce energy consumption at peak hours. To validate the proposed mechanisms, we implement a blockchain-based transaction system that consists of five nodes, a wallet, and real price and consumption data from Ontario Electric Board. The results of our experiments show that prosumers could increase their probability to win as a validator with increased energy productions and decreased consumption. We simulate two case studies, and the results show that an increase of 20% generation increases wallet balance by 10% followed by PoEG algorithm while a reduction of 20% consumption increments the balance by 9% employing PoEC algorithm. © 2019 IEEE.","Blockchain; Consensus protocol; Local energy trading; Smart grid","Blockchain; Commerce; Electric power transmission networks; Energy management; Energy utilization; Internet of things; Power markets; Renewable energy resources; Smart city; Consensus protocols; Decentralized approach; Energy generations; Local energy; Reduce energy consumption; Renewable energy source; Smart grid; Transaction systems; Smart power grids",Conference Paper,"Final",,Scopus,2-s2.0-85076342243
"Gebraselase B.G., Helvik B.E., Jiang Y.","57212471026;6602287380;7404834065;","Suitability of blockchains to enable and support networking functions: State of art",2019,"ACM International Conference Proceeding Series",,,,"110","119",,,"10.1145/3361821.3361838","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076790567&doi=10.1145%2f3361821.3361838&partnerID=40&md5=5ec10923e5d5804b49f223fb6fcce4c7","NTNU, Norwegian Science and Technology, Norway","Gebraselase, B.G., NTNU, Norwegian Science and Technology, Norway; Helvik, B.E., NTNU, Norwegian Science and Technology, Norway; Jiang, Y., NTNU, Norwegian Science and Technology, Norway","The underlying network infrastructure faces challenges from addressing maintenance, security, performance, and scalability to make the network more reliable and stable. Software-defined networking, blockchain, and network function virtualization were proposed and realized to address such issues in both academic and industry wise. This paper analyzes and summarizes works from implementing different categories of blockchains as an element or enabler of network functions to resolve the limitation. Blockchain as a network function has been proposed to give support to the underlying network infrastructure to provide services that have less lag, are more cost-effective, have better performance, guarantee security between participating parties, and protect the privacy of the users. This paper provides a review of recent work that makes use of blockchain to address such networking related challenges and the possible setbacks in the proposal. © 2019 Association for Computing Machinery.","Blockchain; Network Function; Performance; Security","Blockchain; Cloud computing; Cost effectiveness; Internet of things; Network function virtualization; Transfer functions; Cost effective; Network functions; Performance; Security; Underlying networks; Network security",Conference Paper,"Final",,Scopus,2-s2.0-85076790567
"Firdaus A., Razak M.F.A., Feizollah A., Hashem I.A.T., Hazim M., Anuar N.B.","56801719800;57190944849;55994163200;56368328800;57202435512;22733749500;","The rise of “blockchain”: bibliometric analysis of blockchain study",2019,"Scientometrics","120","3",,"1289","1331",,7,"10.1007/s11192-019-03170-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068871595&doi=10.1007%2fs11192-019-03170-4&partnerID=40&md5=3a51f49cb7d9ab8bf75803b578c76c0b","Faculty of Computer Systems and Software Engineering, Universiti Malaysia Pahang, Gambang, Kuantan, Pahang  26300, Malaysia; Department of Computer System and Technology, Faculty of Computer Science and Information Technology, University of Malaya, Kuala Lumpur, 50603, Malaysia; School of Computing, & IT, Taylor’s University, Subang Jaya, Selangor  47500, Malaysia","Firdaus, A., Faculty of Computer Systems and Software Engineering, Universiti Malaysia Pahang, Gambang, Kuantan, Pahang  26300, Malaysia; Razak, M.F.A., Faculty of Computer Systems and Software Engineering, Universiti Malaysia Pahang, Gambang, Kuantan, Pahang  26300, Malaysia; Feizollah, A., Department of Computer System and Technology, Faculty of Computer Science and Information Technology, University of Malaya, Kuala Lumpur, 50603, Malaysia; Hashem, I.A.T., School of Computing, & IT, Taylor’s University, Subang Jaya, Selangor  47500, Malaysia; Hazim, M., Department of Computer System and Technology, Faculty of Computer Science and Information Technology, University of Malaya, Kuala Lumpur, 50603, Malaysia; Anuar, N.B., Department of Computer System and Technology, Faculty of Computer Science and Information Technology, University of Malaya, Kuala Lumpur, 50603, Malaysia","The blockchain is a technology which accumulates and compiles data into a chain of multiple blocks. Many blockchain researchers are adopting it in multiple areas. However, there are still lacks bibliometric reports exhibiting the exploration of an in-depth research pattern in blockchain. This paper aims to address that gap by analyzing the widespread of blockchain research activities conducted thus far. This study analyzed the Scopus database by using bibliometric analysis in a pool of more than 1000 articles that were published between 2013 and 2018. In particular, this paper discusses various aspects of blockchain research conducted by researchers globally. This study also focuses on the utilization of blockchain and its consensus algorithms. This bibliometric analysis discovered the following: (1) Blockchain able to solve security issues in internet of things (IoT) and would be an increasing trend in the future; (2) Researchers begin to adopt blockchain in healthcare area; (3) The most active country in blockchain publication is United States, followed by China and Germany; (4) Switzerland and Singapore are two small size countries that published few publications, however receives many citations. (5) Research collaborations between countries increased the research publications except for Canada, India, and Brazil. (6) Keyword analysis revealed that researchers are adopting blockchain to solve problems in multiple categories of the data research area (data privacy, digital storage, the security of data, big data, and distributed database). This study also highlighted the utilization and consensus of the algorithm in blockchain research. © 2019, Akadémiai Kiadó, Budapest, Hungary.","Bibliometric; Blockchain; Consensus algorithm; Review; Security",,Article,"Final",,Scopus,2-s2.0-85068871595
"Li H., Pei L., Liao D., Sun G., Xu D.","57060895800;57210122290;35185298500;36624303100;35241427400;","Blockchain Meets VANET: An Architecture for Identity and Location Privacy Protection in VANET",2019,"Peer-to-Peer Networking and Applications","12","5",,"1178","1193",,3,"10.1007/s12083-019-00786-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069461401&doi=10.1007%2fs12083-019-00786-4&partnerID=40&md5=44d2be27f186d34e0ae963e194b05086","Key Lab of Optical Fiber Sensing and Communications (Ministry of Education), University of Electronic Science and Technology of China, No. 2006 Xiyuan Road, hi-tech West District, Chengdu, Sichuan, China; Chengdu Research Institute, University of Electronic Science and Technology of China, No. 2006 Xiyuan Road, hi-tech West District, Chengdu, Sichuan, China; Center for Cyber Security, University of Electronic Science and Technology of China, No. 2006 Xiyuan Road, hi-tech West District, Chengdu, Sichuan, China","Li, H., Key Lab of Optical Fiber Sensing and Communications (Ministry of Education), University of Electronic Science and Technology of China, No. 2006 Xiyuan Road, hi-tech West District, Chengdu, Sichuan, China, Chengdu Research Institute, University of Electronic Science and Technology of China, No. 2006 Xiyuan Road, hi-tech West District, Chengdu, Sichuan, China; Pei, L., Key Lab of Optical Fiber Sensing and Communications (Ministry of Education), University of Electronic Science and Technology of China, No. 2006 Xiyuan Road, hi-tech West District, Chengdu, Sichuan, China; Liao, D., Key Lab of Optical Fiber Sensing and Communications (Ministry of Education), University of Electronic Science and Technology of China, No. 2006 Xiyuan Road, hi-tech West District, Chengdu, Sichuan, China, Chengdu Research Institute, University of Electronic Science and Technology of China, No. 2006 Xiyuan Road, hi-tech West District, Chengdu, Sichuan, China; Sun, G., Key Lab of Optical Fiber Sensing and Communications (Ministry of Education), University of Electronic Science and Technology of China, No. 2006 Xiyuan Road, hi-tech West District, Chengdu, Sichuan, China, Center for Cyber Security, University of Electronic Science and Technology of China, No. 2006 Xiyuan Road, hi-tech West District, Chengdu, Sichuan, China; Xu, D., Key Lab of Optical Fiber Sensing and Communications (Ministry of Education), University of Electronic Science and Technology of China, No. 2006 Xiyuan Road, hi-tech West District, Chengdu, Sichuan, China","With the breakthroughs in sensor technology and internet of things, Vehicular Ad Hoc Network (VANET) is developing into a new generation. The technical challenges of current VANET are decentralized architecture deployment and privacy protection. Since the blockchain owns the characteristics of being decentralized, distributed, collective maintenance and non-tampering, this paper designs a novel decentralized architecture using blockchain technology, which is called blockchain-based VANET. The blockchain-based VANET involves four major stages: blockchain set-up, registration of vehicles, SBMs upload, and blockchain record. It can effectively address the problems of centralization and mutual distrust between entities in current VANET. For protecting identity and location privacy, we propose UGG, IPP and LPP algorithms with the way of dynamic threshold encryption and k-anonymity unity in the stage of SBMs upload of blockchain-based VANET. To quantify the availability of k-anonymity unity, we propose two indicators: connectivity and average distance. Extensive simulations have been conducted to validate the effectiveness of blockchain-based VANET. We analyze the simulation results from four aspects: system time, average distance, connectivity, and privacy leakage. The simulation results show that our proposed architecture performs better in terms of processing time than current architectures. Furthermore, our proposed architecture shows its superior in the aspect of protecting identity and location privacy. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.","Blockchain; Decentralized; Identity privacy; Location privacy; VANET","Blockchain; Cryptography; Location; Network architecture; Decentralized; Decentralized architecture; Extensive simulations; Location privacy; Location privacy protection; Proposed architectures; Technical challenges; VANET; Vehicular ad hoc networks",Article,"Final",,Scopus,2-s2.0-85069461401
"Chowdhury N.","26638731900;","An IoT and blockchain-based approach for ensuring transparency and accountability in regulatory compliance",2019,"UbiComp/ISWC 2019- - Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers",,,,"957","962",,1,"10.1145/3341162.3349320","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072882390&doi=10.1145%2f3341162.3349320&partnerID=40&md5=2e511e315caba026e603d81c107b6542","Open University, United Kingdom","Chowdhury, N., Open University, United Kingdom","Regulatory compliance is an essential exercise in the modern societies confirming safety and prevention of harm to consumers. Despite many efforts from international and national quality control authorities, transparency and accountability in regulatory compliance remain a challenging technical-legal problem sitting atop a heavy reliance on trust. This paper presents a theoretical model of regulatory compliance aiming at improving accountability for systems and data audit and introduces a higher degree of transparency in management and quality control. It explores the technical aspects of two emerging technologies the Internet of Things (IoT) and Blockchain, and using a common use-case in practice shows how to better align these technologies with legal concerns and trust in regulatory compliance. © 2019 Copyright held by the owner/author(s). Publication rights licensed to ACM.","Blockchain; Internet of things; Regulatory compliance; Trust","Blockchain; Compliance control; Information management; Internet of things; Quality control; Transparency; Ubiquitous computing; Wearable computers; Control authorities; Emerging technologies; Internet of thing (IOT); Legal concern; Legal problems; Technical aspects; Theoretical modeling; Trust; Regulatory compliance",Conference Paper,"Final",,Scopus,2-s2.0-85072882390
"Zhang K., Zhu Y., Maharjan S., Zhang Y.","56404886100;56021641700;36028399100;56602599100;","Edge Intelligence and Blockchain Empowered 5G beyond for the Industrial Internet of Things",2019,"IEEE Network","33","5", 8863721,"12","19",,11,"10.1109/MNET.001.1800526","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073633889&doi=10.1109%2fMNET.001.1800526&partnerID=40&md5=6ccb29c029b835c50e20cb1a8a52cb18","University of Electronic Science and Technology of China, China; Loughborough University, United Kingdom; Simula Metropolitan Center for Digital Engineering, University of Oslo, Norway","Zhang, K., University of Electronic Science and Technology of China, China; Zhu, Y., Loughborough University, United Kingdom; Maharjan, S., Simula Metropolitan Center for Digital Engineering, University of Oslo, Norway; Zhang, Y., Simula Metropolitan Center for Digital Engineering, University of Oslo, Norway","Edge intelligence is a key enabler for IIoT as it offers smart cloud services in close proximity to the production environment with low latency and less cost. The need for ubiquitous communication, computing, and caching resources in 5G beyond will lead to a growing demand to integrate heterogeneous resources into the edge network. Furthermore, distributed edge services can make resource transactions vulnerable to malicious nodes. Ensuring secure edge services under complex industrial networks is a big challenge. In this article, we present an edge intelligence and blockchain empowered IIoT framework, which achieves flexible and secure edge service management. Then we propose a cross-domain sharing inspired edge resource scheduling scheme and design a credit-differentiated edge transaction approval mechanism. Numerical results indicate that the proposed schemes bring significant improvement in both edge service cost and service capacities. © 1986-2012 IEEE.",,"Blockchain; Internet of things; Ubiquitous computing; Close proximity; Edge intelligence; Heterogeneous resources; Industrial networks; Numerical results; Production environments; Service capacity; Ubiquitous communication; 5G mobile communication systems",Article,"Final",,Scopus,2-s2.0-85073633889
"Wei L., Wu J., Long C., Lin Y.-B.","57211010974;56428178500;8718008500;56990503200;","The Convergence of IoE and Blockchain: Security Challenges",2019,"IT Professional","21","5", 8832287,"26","32",,1,"10.1109/MITP.2019.2923602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072263218&doi=10.1109%2fMITP.2019.2923602&partnerID=40&md5=0017bdbbd336126029358e6dab2f71ef","Shanghai Jiao Tong University, Shanghai, China; National Chiao Tung University, Taiwan","Wei, L., Shanghai Jiao Tong University, Shanghai, China; Wu, J., Shanghai Jiao Tong University, Shanghai, China; Long, C., Shanghai Jiao Tong University, Shanghai, China; Lin, Y.-B., National Chiao Tung University, Taiwan","To build a large-scale distributed Internet of Things (IoT), a feasible prototype for Internet of Everything, blockchain can provide strong support with its excellent characteristics such as traceability and openness. Despite that the blockchain technology ideally enhances the reliability and security of IoT systems, emerging new security challenges remain to be resolved. This article details the security vulnerabilities in the convergence of blockchain and IoT as well as corresponding feasible solutions. © 1999-2012 IEEE.",,"Blockchain; Feasible solution; Internet of Things (IOT); Security challenges; Security vulnerabilities; Internet of things",Article,"Final",,Scopus,2-s2.0-85072263218
"Hu J.-W., Yeh L.-Y., Liao S.-W., Yang C.-S.","35097508700;8839883700;7401923047;13405682600;","Autonomous and malware-proof blockchain-based firmware update platform with efficient batch verification for Internet of Things devices",2019,"Computers and Security","86",,,"238","252",,1,"10.1016/j.cose.2019.06.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068189601&doi=10.1016%2fj.cose.2019.06.008&partnerID=40&md5=ae544e218ca49bf18238e17cf99ff6ae","Network and Security Division, National Center for High-Performance Computing (NCHC), Taiwan; Department of Computer Science and Information Engineering, National Taiwan UniversityTaipei, Taiwan; Institute of Computer and Communication Engineering, Department of Electrical Engineering, National Cheng Kung UniversityTainan, Taiwan; Department of Information Management, National Chi Nan UniversityNantou, Taiwan","Hu, J.-W., Network and Security Division, National Center for High-Performance Computing (NCHC), Taiwan, Institute of Computer and Communication Engineering, Department of Electrical Engineering, National Cheng Kung UniversityTainan, Taiwan; Yeh, L.-Y., Network and Security Division, National Center for High-Performance Computing (NCHC), Taiwan, Department of Information Management, National Chi Nan UniversityNantou, Taiwan; Liao, S.-W., Department of Computer Science and Information Engineering, National Taiwan UniversityTaipei, Taiwan; Yang, C.-S., Institute of Computer and Communication Engineering, Department of Electrical Engineering, National Cheng Kung UniversityTainan, Taiwan","Internet of Things (IoT) devices are expected to penetrate users’ lives everywhere. However, the occurrence of several massive distributed denial-of-service (DDoS) attacks in infected IoT devices has brought increased attention to the importance of IoT security. Since IoT devices are equipped only with lightweight operation systems, the installation of antivirus software cannot be guaranteed. Therefore, a method through which the firmware of IoT devices can be securely and autonomously updated must be developed. This paper proposes a blockchain-based firmware updating platform to enhance the process of updating firmware. A smart contract is used to ensure integrity and enforce the scanning of malicious code. With a peer-to-peer file sharing system, our platform enjoys high availability without the single failure point problem, mitigating the possibility of DDoS attacks. We use batch verification in case of multiple updating requests for better scalability. Through function comparisons and performance simulation, our scheme is shown to be effective in strengthening IoT security. © 2019 Elsevier Ltd","Blockchain; Distributed Denial-of-Service (DDoS); Internet of Things (IoT); Smart contract","Blockchain; Denial-of-service attack; Distributed computer systems; Firmware; Malware; Network security; Peer to peer networks; Antivirus softwares; Batch verification; Distributed denial of service; Distributed denial of service attack; High availability; Internet of Things (IOT); Peer-to-peer file sharing systems; Performance simulation; Internet of things",Article,"Final",,Scopus,2-s2.0-85068189601
